iter	RMSE
0	2568.415978
1	2372.262614
2	2204.871158
3	2053.273677
4	1925.120518
5	1811.504113
6	1709.510307
7	1620.337541
8	1548.25171
9	1481.214368
10	1428.103767
11	1378.98749
12	1335.117956
13	1298.371658
14	1267.016739
15	1240.731727
16	1217.292962
17	1198.458703
18	1180.373753
19	1166.020002
20	1152.65746
21	1142.581267
22	1135.46307
23	1129.053168
24	1123.127478
25	1116.617614
26	1112.063545
27	1107.903734
28	1103.912315
29	1101.015451
30	1098.622604
31	1095.987328
32	1094.254717
33	1092.943218
34	1091.590577
35	1090.701315
36	1089.865293
37	1088.547988
38	1087.62438
39	1086.705926
40	1085.877988
41	1085.426908
42	1085.339076
43	1085.205463
44	1084.629367
45	1084.127474
46	1083.350397
47	1082.964874
48	1082.794676
49	1082.501167
50	1082.311076
51	1082.195781
52	1082.113459
53	1081.925406
54	1081.469185
55	1081.062012
56	1080.556579
57	1080.403629
58	1080.159369
59	1080.114185
60	1079.996684
61	1079.620878
62	1079.567567
63	1079.489925
64	1079.431947
65	1079.160003
66	1079.009177
67	1078.940903
68	1078.851829
69	1078.70518
70	1078.682613
71	1078.374509
72	1078.246281
73	1078.149367
74	1078.097588
75	1078.051342
76	1077.455837
77	1077.420445
78	1077.384491
79	1076.998458
80	1076.992314
81	1076.897723
82	1076.843267
83	1076.742347
84	1076.70421
85	1076.651317
86	1076.349213
87	1076.100955
88	1076.024336
89	1075.818804
90	1075.590997
91	1075.305526
92	1075.215318
93	1075.124067
94	1074.984092
95	1074.768701
96	1074.16142
97	1074.129684
98	1074.019795
99	1073.997389
