iter	Passed	Remaining
0	7	730
1	13	683
2	19	621
3	23	568
4	27	526
5	30	481
6	33	444
7	36	414
8	38	392
9	41	371
10	43	354
11	46	343
12	50	336
13	53	326
14	55	316
15	58	307
16	61	298
17	64	294
18	67	289
19	70	282
20	73	277
21	77	275
22	81	272
23	84	269
24	89	267
25	93	266
26	97	263
27	101	261
28	105	258
29	109	256
30	114	255
31	118	252
32	122	249
33	127	246
34	131	243
35	135	240
36	139	237
37	143	234
38	148	231
39	152	228
40	156	225
41	160	221
42	164	217
43	167	213
44	170	208
45	174	204
46	176	199
47	179	194
48	183	191
49	195	195
50	200	192
51	205	189
52	209	185
53	214	182
54	219	179
55	224	176
56	229	173
57	233	169
58	236	164
59	239	159
60	243	155
61	246	150
62	249	146
63	252	141
64	255	137
65	257	132
66	260	128
67	263	123
68	266	119
69	269	115
70	272	111
71	275	107
72	278	102
73	281	98
74	284	94
75	287	90
76	290	86
77	293	82
78	297	78
79	299	74
80	302	71
81	305	67
82	308	63
83	311	59
84	315	55
85	318	51
86	321	48
87	324	44
88	327	40
89	332	36
90	334	33
91	336	29
92	339	25
93	342	21
94	346	18
95	349	14
96	353	10
97	355	7
98	357	3
99	360	0
