iter	Passed	Remaining
0	67	6663
1	107	5262
2	152	4938
3	208	4993
4	261	4963
5	308	4826
6	358	4767
7	402	4628
8	451	4563
9	507	4565
10	547	4429
11	583	4276
12	625	4188
13	672	4128
14	712	4035
15	746	3921
16	788	3847
17	823	3752
18	867	3699
19	918	3674
20	960	3612
21	1015	3599
22	1064	3563
23	1110	3516
24	1154	3464
25	1210	3445
26	1282	3468
27	1337	3439
28	1386	3395
29	1441	3363
30	1494	3325
31	1545	3283
32	1604	3257
33	1657	3217
34	1709	3175
35	1759	3127
36	1820	3099
37	1876	3061
38	1929	3017
39	1987	2980
40	2040	2936
41	2091	2888
42	2144	2842
43	2199	2798
44	2250	2750
45	2307	2709
46	2365	2667
47	2421	2623
48	2490	2592
49	2550	2550
50	2610	2507
51	2664	2459
52	2718	2411
53	2772	2361
54	2830	2316
55	2888	2269
56	2946	2222
57	3010	2180
58	3069	2132
59	3128	2085
60	3186	2037
61	3243	1988
62	3300	1938
63	3354	1886
64	3413	1838
65	3468	1786
66	3523	1735
67	3578	1683
68	3634	1632
69	3692	1582
70	3749	1531
71	3807	1480
72	3860	1427
73	3919	1377
74	3987	1329
75	4069	1285
76	4128	1233
77	4189	1181
78	4249	1129
79	4306	1076
80	4356	1021
81	4409	967
82	4474	916
83	4530	862
84	4583	808
85	4637	754
86	4693	701
87	4749	647
88	4817	595
89	4875	541
90	4934	487
91	5000	434
92	5053	380
93	5109	326
94	5167	271
95	5228	217
96	5285	163
97	5334	108
98	5385	54
99	5438	0
