iter	SMAPE	RMSE	MAPE	MAE
0	151.6373261	2568.036184	0.8530574221	1982.817046
1	121.0617223	2372.229989	0.7372819188	1788.627119
2	99.99961351	2199.586936	0.6524232016	1619.512461
3	84.68242514	2047.045374	0.5898241207	1474.592925
4	72.55636414	1922.027474	0.53948761	1349.785937
5	64.78195131	1810.260624	0.5137860643	1248.749476
6	58.85506998	1712.307842	0.513959238	1168.126634
7	54.75564394	1622.872994	0.5073486411	1099.051819
8	51.39161339	1549.755231	0.5025071536	1040.900462
9	49.04668775	1484.146325	0.5068705666	995.7265246
10	47.28746585	1428.264889	0.5116316423	958.7011939
11	45.75484424	1378.83184	0.5145724896	926.0204471
12	44.48616814	1334.090156	0.5230353208	898.168292
13	43.32506475	1296.711409	0.5233803228	873.6946464
14	43.16523998	1268.27299	0.5448279058	860.4167267
15	42.29126979	1239.677163	0.5427900069	842.8556667
16	41.9185201	1217.265771	0.5484855763	832.3914617
17	41.44765274	1197.565023	0.5496335658	821.4982632
18	41.05021405	1180.96238	0.551162238	812.609384
19	40.57016501	1166.734714	0.5501360511	803.5867832
20	40.16381104	1154.420933	0.5470892401	796.8934317
21	40.19546434	1145.387093	0.5566475192	793.754089
22	39.9722917	1136.893144	0.5571845128	789.2603215
23	39.84264802	1130.222883	0.558277013	786.4244681
24	39.78202035	1123.917543	0.5609054636	784.3742732
25	39.72420595	1118.981682	0.5640784465	782.3201172
26	39.64636106	1114.371665	0.5653684571	780.4158409
27	39.51835686	1109.706706	0.5651270576	777.968663
28	39.46789361	1107.074129	0.5656172473	777.3872132
29	39.43425646	1104.078421	0.5667091363	776.3342622
30	39.27002596	1101.478995	0.5633244534	774.6142981
31	39.1397219	1099.129617	0.5613606814	773.0657682
32	39.12371724	1097.036952	0.5619624652	772.4447704
33	38.98358015	1094.887151	0.5600663115	770.9081249
34	38.88928899	1093.196992	0.5589019343	769.9016009
35	38.86569301	1091.937363	0.5584766096	769.1805237
36	38.87722195	1090.636464	0.5598489477	768.977553
37	38.8762056	1090.114539	0.5597543154	769.0291933
38	38.87979276	1089.277905	0.560554457	768.9435027
39	38.88763934	1089.006284	0.5608831089	769.1345323
40	38.87229254	1088.193322	0.560931748	768.7465477
41	38.88001964	1087.664968	0.5619045992	768.7530607
42	38.91877143	1087.144167	0.5613654953	768.3737558
43	38.92063466	1086.777356	0.5622313569	768.3917856
44	38.93698665	1086.362527	0.5615983007	768.2572948
45	38.94782435	1085.818956	0.56074836	767.8955175
46	38.94978796	1085.317661	0.5608461098	767.7747295
47	39.09974888	1084.976082	0.5602192647	767.649509
