iter	Passed	Remaining
0	10	5078
1	19	4957
2	28	4758
3	35	4425
4	43	4270
5	50	4152
6	57	4059
7	65	4020
8	74	4061
9	82	4021
10	88	3951
11	96	3937
12	103	3879
13	110	3845
14	118	3827
15	126	3833
16	134	3815
17	141	3789
18	148	3760
19	155	3725
20	162	3706
21	169	3684
22	176	3662
23	183	3644
24	190	3619
25	199	3637
26	213	3735
27	222	3744
28	231	3763
29	239	3757
30	247	3750
31	255	3733
32	262	3708
33	268	3682
34	275	3660
35	282	3643
36	289	3623
37	297	3612
38	304	3600
39	314	3612
40	323	3622
41	332	3622
42	337	3587
43	344	3572
44	351	3551
45	358	3538
46	363	3502
47	368	3473
48	375	3458
49	382	3446
50	391	3442
51	395	3403
52	400	3375
53	404	3336
54	409	3316
55	415	3296
56	421	3277
57	425	3243
58	431	3223
59	436	3203
60	441	3175
61	446	3157
62	452	3139
63	459	3131
64	464	3108
65	470	3095
66	476	3077
67	480	3055
68	487	3042
69	492	3022
70	497	3004
71	502	2988
72	507	2970
73	513	2955
74	518	2940
75	525	2932
76	530	2915
77	538	2911
78	543	2893
79	549	2885
80	556	2879
81	563	2871
82	570	2867
83	575	2852
84	582	2845
85	587	2828
86	594	2822
87	599	2805
88	604	2791
89	609	2776
90	617	2775
91	622	2760
92	627	2747
93	634	2738
94	640	2730
95	646	2721
96	651	2708
97	659	2705
98	665	2694
99	670	2683
100	676	2670
101	682	2662
102	687	2651
103	692	2638
104	697	2625
105	702	2611
106	708	2603
107	715	2597
108	720	2584
109	727	2578
110	732	2565
111	737	2555
112	742	2543
113	748	2534
114	755	2528
115	762	2524
116	769	2520
117	777	2516
118	783	2509
119	790	2504
120	798	2500
121	803	2490
122	810	2482
123	816	2475
124	821	2465
125	827	2455
126	832	2445
127	839	2441
128	846	2434
129	851	2423
130	857	2415
131	863	2407
132	869	2399
133	874	2389
134	880	2380
135	886	2373
136	893	2366
137	898	2356
138	904	2348
139	910	2341
140	916	2332
141	922	2326
142	929	2320
143	933	2307
144	938	2298
145	943	2288
146	950	2281
147	957	2276
148	962	2266
149	967	2258
150	982	2269
151	989	2266
152	998	2263
153	1005	2259
154	1013	2255
155	1021	2251
156	1028	2247
157	1036	2244
158	1044	2240
159	1054	2240
160	1067	2246
161	1074	2241
162	1081	2236
163	1092	2237
164	1099	2232
165	1106	2227
166	1114	2222
167	1122	2217
168	1129	2212
169	1138	2210
170	1145	2203
171	1152	2197
172	1160	2193
173	1168	2189
174	1176	2184
175	1184	2180
176	1194	2180
177	1201	2174
178	1207	2166
179	1213	2157
180	1221	2153
181	1227	2145
182	1236	2141
183	1241	2132
184	1249	2128
185	1255	2119
186	1260	2110
187	1267	2104
188	1272	2094
189	1280	2088
190	1287	2083
191	1295	2078
192	1301	2070
193	1306	2060
194	1313	2054
195	1318	2045
196	1323	2035
197	1330	2028
198	1336	2020
199	1341	2012
200	1346	2003
201	1352	1995
202	1358	1986
203	1364	1979
204	1369	1971
205	1375	1963
206	1381	1956
207	1387	1947
208	1393	1940
209	1399	1932
210	1405	1925
211	1411	1917
212	1417	1910
213	1423	1902
214	1431	1897
215	1439	1893
216	1447	1887
217	1455	1882
218	1462	1876
219	1471	1872
220	1479	1868
221	1485	1859
222	1493	1854
223	1499	1848
224	1504	1839
225	1512	1833
226	1519	1827
227	1527	1821
228	1534	1816
229	1542	1810
230	1549	1804
231	1556	1797
232	1565	1793
233	1571	1786
234	1578	1780
235	1585	1773
236	1590	1765
237	1595	1756
238	1600	1747
239	1607	1741
240	1613	1733
241	1617	1724
242	1623	1717
243	1629	1709
244	1635	1702
245	1641	1694
246	1646	1686
247	1653	1679
248	1658	1671
249	1663	1663
250	1668	1655
251	1674	1647
252	1679	1639
253	1684	1631
254	1689	1623
255	1694	1615
256	1701	1608
257	1706	1600
258	1711	1592
259	1716	1584
260	1722	1577
261	1727	1569
262	1732	1561
263	1737	1553
264	1744	1547
265	1751	1540
266	1756	1532
267	1761	1524
268	1768	1518
269	1775	1512
270	1780	1504
271	1786	1497
272	1791	1489
273	1797	1482
274	1802	1474
275	1807	1467
276	1815	1461
277	1822	1455
278	1829	1449
279	1837	1443
280	1842	1435
281	1848	1428
282	1854	1421
283	1860	1414
284	1866	1408
285	1871	1400
286	1877	1393
287	1883	1386
288	1888	1378
289	1894	1371
290	1901	1365
291	1906	1357
292	1912	1351
293	1918	1343
294	1924	1337
295	1930	1330
296	1936	1323
297	1942	1316
298	1948	1309
299	1970	1313
300	1978	1308
301	1986	1302
302	1994	1296
303	2001	1290
304	2009	1284
305	2017	1278
306	2024	1272
307	2032	1267
308	2042	1262
309	2053	1258
310	2065	1254
311	2072	1248
312	2080	1243
313	2088	1237
314	2093	1229
315	2099	1222
316	2106	1216
317	2114	1210
318	2119	1202
319	2127	1196
320	2133	1189
321	2140	1183
322	2147	1176
323	2153	1169
324	2161	1164
325	2167	1157
326	2175	1150
327	2181	1144
328	2187	1136
329	2192	1129
330	2199	1123
331	2205	1115
332	2210	1108
333	2216	1101
334	2222	1094
335	2229	1088
336	2235	1081
337	2242	1074
338	2247	1067
339	2253	1060
340	2258	1053
341	2264	1046
342	2269	1038
343	2275	1031
344	2279	1024
345	2286	1017
346	2293	1011
347	2300	1004
348	2305	997
349	2312	991
350	2321	985
351	2328	979
352	2338	973
353	2346	967
354	2354	961
355	2361	955
356	2370	949
357	2377	943
358	2385	936
359	2391	930
360	2396	922
361	2403	916
362	2408	909
363	2414	901
364	2420	895
365	2425	888
366	2431	881
367	2438	874
368	2447	868
369	2454	862
370	2462	856
371	2469	849
372	2478	843
373	2487	838
374	2496	832
375	2503	825
376	2509	818
377	2516	812
378	2522	805
379	2529	798
380	2536	792
381	2541	784
382	2547	778
383	2553	771
384	2559	764
385	2565	757
386	2570	750
387	2575	743
388	2582	736
389	2586	729
390	2592	722
391	2599	716
392	2606	709
393	2613	703
394	2621	696
395	2628	690
396	2635	683
397	2640	676
398	2646	669
399	2652	663
400	2658	656
401	2663	649
402	2670	642
403	2678	636
404	2684	629
405	2690	622
406	2696	616
407	2702	609
408	2708	602
409	2715	595
410	2720	589
411	2726	582
412	2732	575
413	2739	569
414	2746	562
415	2751	555
416	2756	548
417	2762	541
418	2767	534
419	2772	528
420	2778	521
421	2784	514
422	2790	507
423	2794	500
424	2799	494
425	2806	487
426	2810	480
427	2816	473
428	2822	467
429	2828	460
430	2834	453
431	2839	447
432	2845	440
433	2852	433
434	2858	427
435	2864	420
436	2871	413
437	2878	407
438	2884	400
439	2891	394
440	2897	387
441	2903	381
442	2908	374
443	2915	367
444	2922	361
445	2927	354
446	2932	347
447	2938	341
448	2964	336
449	2972	330
450	2978	323
451	2985	317
452	2992	310
453	3000	304
454	3006	297
455	3012	290
456	3017	283
457	3023	277
458	3028	270
459	3036	264
460	3042	257
461	3051	251
462	3057	244
463	3065	237
464	3072	231
465	3080	224
466	3086	218
467	3092	211
468	3100	204
469	3107	198
470	3115	191
471	3121	185
472	3127	178
473	3135	171
474	3141	165
475	3150	158
476	3154	152
477	3160	145
478	3168	138
479	3174	132
480	3180	125
481	3186	118
482	3192	112
483	3199	105
484	3204	99
485	3210	92
486	3216	85
487	3221	79
488	3227	72
489	3235	66
490	3240	59
491	3247	52
492	3252	46
493	3259	39
494	3265	32
495	3270	26
496	3276	19
497	3282	13
498	3286	6
499	3292	0
